Title	URL	Assignees	Story Points	Status	Date Started	Date Completed	Module Label	Priority Level	Labels
Rename DebtsItem to DebtItem	https://github.com/cgob-mitd-dev/egov-bebs/issues/191	KarstnAncheta	4	Archived - New	Sep 7, 2023	Sep 7, 2023	misc	P1	backend, enhancement, frontend
Optimize ReferenceController@destroyReference	https://github.com/cgob-mitd-dev/egov-bebs/issues/206	KarstnAncheta	0.5	Archived - New	Sep 10, 2023	Sep 10, 2023	misc	P3	backend, enhancement
Optimize PpaController@destroyPpa	https://github.com/cgob-mitd-dev/egov-bebs/issues/207	KarstnAncheta	0.5	Archived - New	Sep 10, 2023	Sep 10, 2023	misc	P3	backend, enhancement
Fix skeleton loading for project details modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/197	KarstnAncheta	2	Archived - New	Sep 4, 2023	Sep 4, 2023	misc	P3	enhancement, frontend
Fix skeleton loading for barangay details page	https://github.com/cgob-mitd-dev/egov-bebs/issues/196	KarstnAncheta	2	Archived - New	Sep 4, 2023	Sep 4, 2023	misc	P3	enhancement, frontend
Add "error flagging" feature	https://github.com/cgob-mitd-dev/egov-bebs/issues/189	KarstnAncheta	40	Archived - New	Sep 1, 2023	Sep 7, 2023	misc	P1	backend, enhancement, frontend
Remove ability to set debt item errors in Form 4 for unauthorized users	https://github.com/cgob-mitd-dev/egov-bebs/issues/208	KarstnAncheta	0.5	Archived - New	Sep 8, 2023	Sep 8, 2023	misc	P3	bug, enhancement, frontend
Deployment error	https://github.com/cgob-mitd-dev/egov-bebs/issues/168		8	Archived - New	Jul 25, 2023	Jul 25, 2023	misc	P0	bug
Fix: Optimize and refactor code	https://github.com/cgob-mitd-dev/egov-bebs/issues/166	KarstnAncheta	16	Archived - New	Jul 17, 2023	Jul 24, 2023	misc	P3	backend, bug, enhancement, frontend
Fix Control Values Bug	https://github.com/cgob-mitd-dev/egov-bebs/issues/153	KarstnAncheta	16	Archived - New	Jul 11, 2023	Jul 11, 2023	misc	P1	backend, bug, frontend
Update CreateApprovalModal.vue	https://github.com/cgob-mitd-dev/egov-bebs/issues/148	KarstnAncheta	2	Archived - New	Jul 11, 2023	Jul 11, 2023	misc	P3	enhancement, frontend
Enforce ESLint standards on Admin Module	https://github.com/cgob-mitd-dev/egov-bebs/issues/164	KarstnAncheta	8	Archived - New	Jul 15, 2023	Jul 15, 2023	misc	P3	enhancement, frontend
Update Expenditure Item Modal	https://github.com/cgob-mitd-dev/egov-bebs/issues/130	KarstnAncheta	2	Archived - New	Jul 11, 2023	Jul 11, 2023	misc	P3	enhancement, frontend
Update Procurement APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/139	KarstnAncheta	2	Archived - New	Jul 13, 2023	Jul 13, 2023	misc	P1	backend
Update ProcurementItem APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/140	KarstnAncheta	2	Archived - New	Jul 13, 2023	Jul 13, 2023	misc	P1	backend
Update ExpenditureItem APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/133	KarstnAncheta	2	Archived - New	Jul 13, 2023	Jul 13, 2023	misc	P1	backend
Update Reference APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/137	KarstnAncheta	2	Archived - New	Jul 13, 2023	Jul 13, 2023	misc	P1	backend
Update ExpenditureClass APIs	https://github.com/cgob-mitd-dev/egov-bebs/issues/134	KarstnAncheta	2	Archived - New	Jul 13, 2023	Jul 13, 2023	misc	P1	backend
Rename FinancialStatement.vue to AnnualBudget.vue	https://github.com/cgob-mitd-dev/egov-bebs/issues/131	KarstnAncheta	0.5	Archived - New	Jul 11, 2023	Jul 11, 2023	misc	P3	frontend
Add Control Values	https://github.com/cgob-mitd-dev/egov-bebs/issues/117	KarstnAncheta	56	Archived - New	Jul 3, 2023	Jul 11, 2023	misc	P1	backend, enhancement, frontend
