Title	URL	Assignees	Story Points	Status	Date Started	Date Completed	Module Label	Priority Level	Labels
Feature: Add custom command for modules	https://github.com/cgob-mitd-dev/egov-bebs/issues/169	KarstnAncheta	4	Archived - Old	Jul 27, 2023	Jul 27, 2023	miscellaneous tasks	P1	backend
Fix: utilize policies	https://github.com/cgob-mitd-dev/egov-bebs/issues/183	KarstnAncheta	40	Archived - Old	Aug 11, 2023	Aug 16, 2023	miscellaneous tasks	P3	backend, enhancement
update database	https://github.com/cgob-mitd-dev/egov-bebs/issues/23	KarstnAncheta	32	Archived - Old	Mar 27, 2023	Mar 29, 2023	miscellaneous tasks	P1	backend
Add initial SubmitChecklistModal.vue	https://github.com/cgob-mitd-dev/egov-bebs/issues/480	KarstnAncheta	2	Archived - New	Feb 13, 2024	Feb 13, 2024	miscellaneous tasks	P1	enhancement, frontend
Separate Projects and Generated forms page	https://github.com/cgob-mitd-dev/egov-bebs/issues/472	KarstnAncheta	2	Archived - New	Feb 5, 2024	Feb 5, 2024	miscellaneous tasks	P1	enhancement, frontend
Add Form 5	https://github.com/cgob-mitd-dev/egov-bebs/issues/322	KarstnAncheta	16	Archived - Old	Nov 5, 2023	Nov 5, 2023	supplemental barangay module	P2	frontend
Fix SAIP page not showing	https://github.com/cgob-mitd-dev/egov-bebs/issues/467	KarstnAncheta	0.5	Archived - New	Jan 29, 2024	Jan 29, 2024	miscellaneous tasks	P1	backend, bug
Add method generating Appropriation Ordinance for AIP (Barangay Budget Authorization Form No. 1)	https://github.com/cgob-mitd-dev/egov-bebs/issues/444	KarstnAncheta	8	Archived - New	Jan 25, 2024	Jan 26, 2024	miscellaneous tasks	P2	backend, enhancement, frontend
Update tables to be polymorphic	https://github.com/cgob-mitd-dev/egov-bebs/issues/469	KarstnAncheta	24	Archived - New	Jan 29, 2024	Jan 31, 2024	miscellaneous tasks	P1	backend, enhancement, frontend
Update ProjectDetailsModal for BDRRMs	https://github.com/cgob-mitd-dev/egov-bebs/issues/466	KarstnAncheta	2	Archived - New	Jan 29, 2024	Jan 29, 2024	miscellaneous tasks	P1	backend, enhancement, frontend
Add APIs and Composables for checklist signatories metadata	https://github.com/cgob-mitd-dev/egov-bebs/issues/461	KarstnAncheta	1	Archived - New	Jan 23, 2024	Jan 23, 2024	miscellaneous tasks	P1	backend, enhancement, frontend
Add seeder that populates database with users	https://github.com/cgob-mitd-dev/egov-bebs/issues/442	KarstnAncheta	8	Archived - New	Jan 19, 2024	Jan 19, 2024	miscellaneous tasks	P2	backend, enhancement
Add list of signatories components	https://github.com/cgob-mitd-dev/egov-bebs/issues/464	KarstnAncheta	3	Archived - New	Jan 23, 2024	Jan 23, 2024	miscellaneous tasks	P2	frontend
Add "Generate PDF" function for Annual SK Budget	https://github.com/cgob-mitd-dev/egov-bebs/issues/454	KarstnAncheta	8	Archived - New	Jan 10, 2024	Jan 23, 2024	miscellaneous tasks	P2	backend, enhancement, frontend
Add signatory metadata for each budget	https://github.com/cgob-mitd-dev/egov-bebs/issues/459	KarstnAncheta	4	Archived - New	Jan 23, 2024	Jan 23, 2024	miscellaneous tasks	P2	backend
Update SaipProjectDetailsModal for BDRRMs	https://github.com/cgob-mitd-dev/egov-bebs/issues/468	KarstnAncheta	0.5	Archived - New	Jan 29, 2024	Jan 29, 2024	miscellaneous tasks	P1	backend, enhancement, frontend
Add API for storing signature	https://github.com/cgob-mitd-dev/egov-bebs/issues/458	KarstnAncheta	4	Archived - New	Feb 7, 2024	Feb 7, 2024	miscellaneous tasks	P1	backend
Update ANNL_BRGY AIP.vue	https://github.com/cgob-mitd-dev/egov-bebs/issues/521	KarstnAncheta	0.5	Archived - New	Feb 23, 2024	Feb 23, 2024	miscellaneous tasks	P1	enhancement, frontend
Update ANNL_BRGY BDRRM.vue	https://github.com/cgob-mitd-dev/egov-bebs/issues/530	KarstnAncheta	0.5	Archived - New	Feb 23, 2024	Feb 23, 2024	miscellaneous tasks	P1	enhancement, frontend
Utilize bcmath to reduce floating point inaccuracies	https://github.com/cgob-mitd-dev/egov-bebs/issues/486	KarstnAncheta	8	Archived - New	Feb 15, 2024	Feb 18, 2024	miscellaneous tasks	P1	backend, enhancement, frontend
Fix SaipPpa create and update functions exceeding 60 seconds	https://github.com/cgob-mitd-dev/egov-bebs/issues/491	KarstnAncheta	2	Archived - New	Feb 18, 2024	Feb 18, 2024	miscellaneous tasks	P0	backend, bug
